Emotion,Text
fear,i sobbed and cried to him feeling quite vulnerable and he did nothing said nothing
anger,i mean weve been friends for a long time and these things are not new to me but right now it feels like all i ever want to do is just roll my eyes at everything you say and tell you how obnoxious youre being
sadness,i feel its gonna be months after days ever since you broke up with me
sadness,i am remembering your touch feeling your fingers caress my aching palms
fear,i start to feel more and more frantic and rushed trying to provide excellent care for my patients and then high tail it home
anger,i have a reminder of the joy and peace i feel in his arms i am tortured
fear,i have the capacity for great care and compassion as well as the ability to bite metaphorically speaking when i feel threatened
fear,i feel a timid six other times a wise sixty six
anger,i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs
sadness,i feel like i am being punished for the choices i made in the past
sadness,i feel like my last two classes i didnt simplify instruction enough or do enough of a demonstration because i had many students with blank stares or not applying themselves in the projects
sadness,i walk out of the studio feeling exhausted soaking wet with sweat and with a startling clarity of focus and quiet inside
anger,i feel equally wronged
anger,i still feel dissatisfied
fear,ive been idling away this past year i realize im feeling more and more doubtful of my path
anger,i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out
sadness,i feel pretty pathetic right now
anger,i was feeling too agitated to read and it was too hot out to walk
anger,i know that tenge will get me to and from almost anywhere so if i am feeling impatient i offer more
fear,i think it is easy to feel afraid when one considers the nuclear weapons the weather the protests the riots the police reactions the governments responses or the laws being passed
sadness,i don t feel hopeless or depressed
sadness,i feel this blank in my mind is stopping me from breaking under this weight
sadness,i go with their flow i always feel shitty so i do what fits me best
sadness,i feel like the truth is that to him it just wasnt working out he lost patience with me and he felt he would be better off by not trying to please me
anger,i never knew it hurt his feelings i just thought he was being sarcastic in return
anger,i feel annoyed but its because im afraid i wont be able to speak well just like them
anger,i feel resentful about my education rel bookmark why i feel resentful about my education a class entry author href http liveagainsttheflow
sadness,i feeling so shitty today then
sadness,i want to do is sleep and i feel so bad for the boy
sadness,i feel a little foolish for ever having left duluth
anger,i am not even italian but i feel outraged by the stupidity of ppl on this blog
fear,i feel anguish for a family that was assaulted raped and systematically assassinated by u
sadness,i feel so completely and totally drained
anger,i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over
sadness,i should welcome feeling those that have gone before me i almost feel doomed by it
fear,i feel fearful seeing this bridge an emotional tith sam ath whose year old son died in the disaster told afp
sadness,i try not to care when hes with his party friends especially since he doesnt usually take me and i feel like hes embarrassed of me or doesnt want to deal with me on his night of fun and glory of being cool
fear,i feel i will never escape something drawing attention to my forehead when distressed because i imagine old age will turn the scrunching into permanent wrinkles
anger,i feel like a distracted robot
sadness,i scanned through several old blog posts and i could still feel the hurt from them
fear,i have to admit i feel shaken up
fear,i was a mess completely stressed out feeling terrified of doing the wrong thing of mis stepping or of in any way dishonoring or upsetting my medicine family or any of the participants in the quest itself
sadness,i feel isolated unnatural yeah i feel tense unnatural yeah i feel uncaring unnatural
sadness,i need to do everything i can to push away the boundaries i feel listless and overwhelmed
fear,i continued on my way despite feeling a bit strange with my flexy new shoes and sweat soaked back
fear,i feel for you despite the pain makes me suspicious that it might be so
sadness,i feel pathetic encased in stiff and unused limbs my mind plateaus and dreams of beyond
sadness,i feel that such knowledge would be abused
sadness,i feel thoroughly rotten
anger,i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol
sadness,i am the one feeling punished
sadness,i am pretty sure they took the two most horribly sounding words and stuck them together so fat people would feel shamed for being fat
sadness,i feel helpless to overcome the voice that is telling me consistently and firmly that i look disgusting and huge
anger,i guess she didnt feel the need to rescue her son from the vicious man eaters
anger,im feeling very frustrated with my novel in progress right now and i cant even decide why
anger,i almost feel hated by everyone
sadness,i am not working i can cope with but days like today when i am i just feel awful
sadness,i got a bad feeling ryodan doesn t plan to leave me alone in there too long with all those computers
sadness,i have yet to meet a cancer patient who does not feel burdened by some poor self image unresolved conflict and worries or past emotional trauma that still lingers in his subconscious
sadness,i feel and oh how my heart broke
sadness,i was tired of feeling hurt
sadness,i wish crushing on somebody was so much easier i dislike being the emotional one i hate being the one that feels needy but i am here craving her attention and im just trying to ignore it
fear,i can feel their afraid
anger,at a certain situation i felt myself neglected and undeservedly harmed
fear,i find it hard to breathe and sometimes feel a little shaken up by the days events
sadness,i think its just a subconscious acknowledgement about my feelings towards eddie eg ignored
fear,i have control issues though they really only kick badly when i feel unprotected or dont trust my safety net
fear,i necessarily believe in the power of rape whistles but i never got one and i feel grossly unprotected by my campus
sadness,i feel that i am just so unimportant in this life
fear,i feel frightened i hear a mighty roar
sadness,i feel like my heart broke telling my children a href http twitter
anger,im feeling all kinds of conflicted about the bit with his rather violent reaction towards the paparazzi over that zq jcho cpine lunch
anger,i also feel it can be rude to see your family doctor out and about and approach them together with your ailments
anger,i feel they are the last of the tortured fandoms remaining save saints football fans but thats the wrong sport
anger,i am feeling so grumpy today
sadness,i often used the word poggy when we were growing up together when we were feeling particularly ugly or generally not very good those days when all you want to do is stay in bed and hide from the outside world
fear,i feel more vulnerable
fear,i actually stop to think about it it makes me feel quite overwhelmed
fear,i wrote it feels slightly strange starting to write this about cambodia as i sit in lax airport waiting to bi
anger,i am feeling rebellious which is often i suppose
sadness,ive feeling a bit morose as of late
sadness,i feel like my brain is going to expload and its going to be messy and painful
anger,i guess thats why i bought some black nail varnish cos i was feeling rebellious
sadness,i feel as though im becoming jaded to the point of numbness
anger,i feel a little calmer im more irritable and impatient than before
sadness,i have a feeling we ll see the aftermath of laura and gilbert a target blank href http theybf
fear,i just feel so overwhelmed by the feeling of balance that i just
sadness,i didnt feel the stress i was under at telstra was worth it and with out thinking i just resigned
sadness,i have trouble in early afternoon and in the evening with feeling lethargic and pessimistic so i save it for then
anger,im feeling a tad rebellious right now
anger,i glanced out the window at the people strolling on the sidewalks carefree suddenly feeling envious of them for reasons i couldn t explain
anger,i feel a bit dissatisfied with my current network
sadness,i feel troubled deciding whether to go to this hot pot thing at pm or not
sadness,i could easily describe this transformed feeling as hopeless but it was an anesthetized type of hopelessness
sadness,i feel so much pain inside for their aching hearts
sadness,i feel disheartened about that
sadness,i cant even pay attention because i feel so lame watching it
sadness,i feel lame for not posting the recipe but mi madre is protective of em and i respect that
sadness,i feel like i do not have an awful lot of insights to share yet i find it difficult to know where to start
sadness,i would feel drained after my workouts but that to be expected after any workout at least in my experience
sadness,i feel somewhat jaded and tired of having this discussion
sadness,i remembered feeling unwelcome feeling like nobody wanted me there and the feeling was terribly familiar
sadness,i feel very awkward
sadness,i hope you will also feel a little foolish for doing so
sadness,i feel like im damaged goods hah
sadness,i cant help feeling exhausted
anger,i feel like im not as stubborn
anger,i could be feeling this way from the cold medicine ive been taking for this chest sinus cold
sadness,i probably would have bailed at the half way mark when i was feeling quite low physically and mentally
sadness,im still feeling groggy but i got more than hours so i should be fine
fear,i shouldn t feel so apprehensive
fear,i understand that chronically living makes some healthy people feel threatened or afraid
sadness,i feel regretful over what happened with us
sadness,i feel so ashamed that i cant prove the women suck at knowing things about football stereotype incorrect
sadness,i left the eagles complex sunday feeling cooper will have the chance to as he told the team when the news broke last week make it right
sadness,i feel so embarrassed of myself for even having the nerve to post them all up for everyone else to read
sadness,i sneeze i have dark circles under my eyes i feel miserable really
fear,i got home i started to feel weird
fear,i should just relax for now but it feels so distinctly strange for me
anger,i walk away feeling dissatisfied like i ve waited for my caffeine hit only to get a decaf
sadness,i never thought id feel at peace about our tragic parting im pleased to say that today i am
sadness,i start to feel groggy as if i have been drugged
anger,i may not be completely sure on a lot of things but i am a very opinionated person and when i have opinions on something i feel very strongly about them and i can be very stubborn when it comes to them especially when it comes to politics
fear,i wish i could open up to people not feel so terrified of reactions and opinions
sadness,i hate that feeling it makes me feel so ashame and stupid
sadness,im about one fourth through this bottle and im feeling a bit disappointed
sadness,i feel that he has lost the game
anger,i didn t even feel cranky about it
anger,i need to reflect on why i feel irritated
sadness,i feel so rotten for them but there is nothing i can do to change that
fear,i begun to feel distressed for you
anger,i was feeling angry and jealous and deceived
fear,i feel uncertain of how i can keep my personal development of fitness and health going in the right direction
anger,i know some people may cringe but when i feel something in me i have to say it and if you wanna get mad well get mad
anger,i feel we are getting into dangerous territory when we simply ignore the parts of the constitution we don t want to follow or create extra constitutional bureaucracies
fear,i told her yeah they feel insecure and they bully people because it makes them feel powerful physically
anger,i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now
sadness,i am feeling lost for not being on a regimented strength program
sadness,i feel a bit low
sadness,i feel numb burn with a weak heart so i guess i must be having fun the less we say about it the better make it up as we go along feet on the ground head in the sky its ok i know nothings wrong
sadness,i know that its hard cos you might feel helpless or anything but sometimes its something that is beyond what you can do
sadness,i wish i could find a crystal ball for the days i feel completely worthless
anger,getting a low grade on my physics midterm
sadness,i will not consider homeschooling unless i feel we have exhausted every other option if i homeschool it will be temporary and my children will participate in non homeschooling activities as much as possible
sadness,i find this meeting a little scolding when anyone with less than five years of sobriety attempts to engage theres a definite feeling in the air that some horrible crime is being committed
sadness,i will not feel so alone anymore
sadness,i went to bed feeling utterly miserable last night
fear,i feel less pressured to check on my phone and i gain better space to concentrate on what is more important in life
sadness,i know there are times where some nightmarish things may really happen to us but when dreaming bad visions just popped into our minds and have us feeling terrible
fear,i was already feeling pretty nervous about this prospect as i had a suitcase full of dvds of which we only watched one
anger,i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought
sadness,im feeling so ignored right now like no one ever ever cares about me when in the first place im the one trying to push everyone away
anger,i try explaining my feelings and someone dismisses them blindly i feel frustrated and disinterested in discussing my opinions because they cannot put themselves in my place and know what i have experienced by living there
fear,i feel shaken and scared
sadness,i feel like screaming and if she was ugly
fear,im feeling terrified no control and now my world is shaking the curtains close and it tingles and tickles inside in my pulse
fear,i feel like i need to just face the world and stop being afraid of repercussions
fear,i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others
sadness,im feeling totally lame for not posting anything in forever and not even checking this blog in forever
sadness,i know you say you don t but there s a lot of anger that i m on the receiving end of and it s just how i feel i probably deserve to be hated too
sadness,i could put a full thought together and didnt feel so lethargic
sadness,i feel in the tragic case of the woman who was raped though hard may it be the baby should be put up for adoption if the woman cannot bear to keep him her
fear,i notice that i feel a little apprehensive even to share all this
sadness,i couldnt help feeling shamed that we didnt take care of him sooner but who would have ever guessed
sadness,im feeling rather listless today probably because of whats going on around me
sadness,i am still feeling extremely damaged from many different events some of them seeming to repeat themselves i havent given up nor do i ever plan on
sadness,i really want to be proud to say i ve lost x amount of weight rather than feel discouraged because i m not where i want to be
anger,i feel like a dangerous animal as i prowl out of the jungle and onto the warm sand of this deserted island
sadness,i am the type of person that absolutely hates to let anyone down and i feel like any time i have to tell him were broke im letting him down
fear,i feel all shaken up and im waiting for things to settle
sadness,im sinking back into feeling rejected and also wondering what i could have done differently
fear,during the last academic year ie just before the closure
anger,i feel like i do for every one and the only one who does for me does it with an attitude and is aggravated to be asked
sadness,im in confuse and feeling so blank rite now
sadness,i woke up this morning with a cold and have been feeling groggy all morning but that didnt stop my sister and her husband from leaving me to babysit all day quite annoyed i kept it too myself and stayed in chill mode
anger,i do give up at times when i feel there s no point in a friendship when one cant be bothered
sadness,ive been feeling completely stupid about this whole thing
sadness,i still feel it is equally unimportant but in the spirit of a href http blog
sadness,i actually read it im left feeling disillusioned and all the insecurities single ladies attempt to play down on a daily basis surface without me wanting them to
anger,im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly
anger,i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know
sadness,ive been a bad bad lazy girl i can feel my muscle aching
sadness,i read of my friends good news and have an unexplained feeling of melancholy what s up with that
fear,ive been feeling distressed
fear,i know and trust how i feel but i generally shy away from it with strangers
fear,im really feeling skeptical about clinique products
sadness,i have found myself a lot lately i feel discouraged about many things in life
anger,im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently
anger,i feel more irritable and i feel more sensible now than ever
sadness,i remember hating walking from the car to the my classroom feeling judged and ugly and jeered at with every step
anger,i resorted to yesterday the post peak day of illness when i was still housebound but feeling agitated and peckish for brew a href http pics
sadness,im feeling less like a woman and more like an embarrassed girl
fear,i feel pressured when people say im going t beat you or whatever
sadness,i am currently feeling like you know that kind of devastated desperate feelings trapped inside like somewhere between screaming and crying more of like you want to slash your wrist but you are afraid of death
sadness,i feel awkward because v has already asserted that she is doing that
fear,i think people reject their feelings because they re terrified of them but the truth is that once you see that you can t die from them and that they actually go away they re not so scary
sadness,i hate feeling so needy in need of approval in need of money in need of a direction in need of both physical and mental strength even in need of a particular someone in need of knowing what i lack and need
anger,i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him
fear,i feel more terrified than the customers will be in my maze
sadness,im suddenly feeling lighter less burdened by the weight of my life
anger,i feel profoundly insulted by this anime how dumb does it think we are
fear,i feel uncertain if the most of similar families can be reached the uncertainty does not preclude us from serving those we can in the meantime while discovering the ways to reach the others
anger,i really don t feel all that bothered by the north london derby
fear,i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own
fear,i do feel confused
sadness,i no longer feel depressed and am not mad or haven t yet a href http www
anger,i feel so impatient and sometimes i feel thankful that god gave me more time for the moulding of my heart
sadness,i just feel so listless from the gloominess of it all
sadness,i learned i feel lonely at parties i like to plan them however if you dont stuff your feelings with food or liquor or shopping you can
sadness,i feel i cant be disturbed to lift upon with hold up anymore it seems as if i dont know what to do or what i m vital for
sadness,i feel like i missed out on a lot of important information that would have helped me understand his art better
fear,im feeling so restless today
sadness,i noticed myself feeling victimized resentful fearful ripped off crazy my body reacted with sensations of tension and chaos
anger,i feel a bit more energized today and less grouchy
sadness,i feel aching at all times of day
sadness,i feel appropriately disturbed by the project
sadness,i feel like im taking up some more needy persons place in the er
sadness,i managed km in one go once feeling really exhausted afterwards but i survived
anger,i know i shouldnt be reacting this way to it all but i cant help it and i feel terribly petty and horrid but this is the way im reacting and i have to deal with it
sadness,i feel dumb putting so much thought to such a stupid little thing but its getting to me
sadness,i feel embarrassed though think really red faced with steam emerging but i feel i need to do this to better myself as an artist
fear,i am feeling very restless irritable and discontent
fear,i go snowboarding feeling very apprehensive
sadness,i am glad he is ok but it makes me feel even more alone in my sadness
fear,i feel like i get more and more frantic with no clue which way to turn what direction my life is going or if i should even care
sadness,i feel sorry for her she had a good thing in dh but she abused it and him resulting in his depression and diagnosis of generalised anxiety with panic features and then lost it
sadness,i realise that desiring a substance to feed a feeling only compounds the desire to feed the feeling i realise ive abused substances since early childhood
sadness,i feel kinda lost posted by a href http jumbleupon
anger,i can t even feel outraged by it
sadness,i apologise as a tank if we have a big pull and it all feels messy
sadness,i kind of wish i had come up with those thoughts myself rather than feeling the way i do now a lame disciple merely about to regurgitate eva s thoughts on to you all
fear,i didnt start feeling nervous until friday and on saturday i didnt feel as much nervous as scared and respectful of the enormous challenge that laid before me
sadness,i feel like i broke all my rules and i won lots of battles other days i feel like nothing changed since days ago
anger,i don t feel stressed
sadness,i think i feel the coldness more compare to other people who can withstand low temperature
sadness,i refused to allow myself to feel dirty but my vulnerability allowed me to be manipulated quite a bit
fear,i feel reluctant to join the class trip to beijing
fear,i feel tortured by this thought but it feels so true
sadness,i don t like feeling assaulted by a song no matter how much inspiration and integrity is backing up the blows
sadness,i began to feel a bit regretful
fear,watched a horror movie which involved sexual attacks on women
sadness,i almost feel like he was trying to be awkward
sadness,i walked out the disinfected building feeling immensely dirty and lost and couldn t recognize where i was
anger,i have to admit to feeling pretty envious of the commuters there a south african summer has got to be a tad more reliable than a british one
sadness,i was upset and feeling weepy my mom wanted me to drink a mainstream caffeinated tea that she thought would help me feel calmer and more relaxed
sadness,i was feeling kinda discouraged because i was stuck but today i proved to myself that i can do things that i didnt think i could do
fear,i quickly learned just by moving from sauna to ice cold bath to steam room to shower until you feel like a tortured goldilocks who wants nothing more than to find the middle ground between too hot and too cold
sadness,i just feel drained by most of the gameplay i do
anger,i feel that disdain from him when i acted as if id been wronged by him
sadness,i actually put forth the effort and stick to a routine though i am busier i feel less stressed and more fulfilled at the end of the day and am better able to enjoy the simple moments of motherhood
sadness,i should feel burdened that the slightest touch from that body even now still lingers upon my skin
sadness,i feel drained after being out and about even if ive enjoyed myself
anger,i was feeling pretty cranky about it but when i called the garage door guy this morning he said that his scheduler wasnt in because her husband had a massive heart attack over the weekend hes okay so he couldnt give me a time the repairman will call before he comes
sadness,im feeling a little beaten down this week and im not sure why
anger,i want to wimp out on feeling outraged
sadness,i feel really rotten remind me to be thankful on the good days
fear,i have not conducted a survey but it is quite likely that many of them feel as assaulted by onel s demons and other creators as i would have felt had the walls been covered only with eminent figures patriotic heroes and epic deeds
anger,i feel that the life issue and posts like this one will just be met with violent and angry rhetoric
sadness,i don t want to mention the afternoon because i am a highly conscientious person who would hate like to make you feel that unsuccessful
fear,ive done so much reading but i feel like im being paranoid by doing all this extra stuff since no one seems to
sadness,i feel like my day starts around lunchtime which kind of feels awful
fear,i was still feeling a bit unsure a bit not convinced still a bit frustrated
sadness,i feel remorseful for my dao ness
anger,i am posting about a past event where i am feeling like i should be insulted
sadness,i wake up every morning and feel like i have been beaten with a baseball bat
anger,i know this is not specific for me and almost everyone else has a similar experience but i still can t help but feel appalled
anger,i start to feel agitated
sadness,i didnt feel like suffering through a sleepless night especially with my terrible allergies amp amp fever
anger,im fine mary anne answered feeling a little impatient
fear,i feel anyway never afraid of the sea but a healthy respect for the ocean and a sense of harmony and balance
fear,i feel suspicious but i cant walk a way i like him i always had a thing for football players i know ive been m
anger,i am feeling impatient in so many ways but i am equally aware that it is important to learn all i can while im in this season
sadness,i was able to work in the studio all week though im feeling a bit gloomy about how slowly things seem to be progressing
fear,i really have gotten to a place where if i go for more than a day or two without writing i begin to feel very anxious very displaced
sadness,i feel he just broke up with his girlfriend
anger,i feel like todd is getting too stressed or tired with caleb i will take him because i dont want caleb to feel that frustration
fear,i would veer from feeling utterly terrified to utterly disorientated to utterly queasy
anger,i feel far too distracted to actually write anything of substance
sadness,i feel like she shouldnt have blamed him for it but she did and she never forgave him
fear,i feel anxious about a coming event or activity that will require physical energy that i may not have or emotional events that will require emotional energy i look to my parent and adult to take charge
fear,i had been feeling slightly distressed and my pride was resisting me just waiting for the next peregrinos to walk past and help me out
fear,i am feeling restless for some reason today
anger,im feeling really stressed at work too because theyre piling so much stuff for me to do and expect me to do all this creative stuff or decorate or make this
anger,i say it when im stressed feeling bitchy when im slacking in the toilet or when i feel constipated
sadness,i did not make them feel submissive enough and i wonder am i strange or are they
anger,i did not care much about the number of viewers and the viewer ratings before but as the drama iris gained huge success i began to feel greedy about being successful
fear,i feel my heart shaky all the time now
sadness,i feel like my bones broke but when i stood up i can still walk
sadness,i have to look for more problems to heap on myself when i already am feeling burdened
fear,when i was about six years old
sadness,my sister lost one of her twin sons my first nephews and then the older one died a week later
fear,i always think say now feel a little hesitant i always think say now feel a little hesitant posted on may th by admin
sadness,i don t know if i ll continue to feel a dull ache in my leg going forward or not
fear,im feeling quite agitated irritated amp annoyed
sadness,i feel so worthless and weak what does he have to say that s what i want to find out
sadness,i have forgiven anyone who i feel has hurt me
fear,i will feel shy and won t be able to talk to her
anger,im most afraid of i already feel slightly out of place at cru because while most of them will say they are my friend very few of them bothered to reach out and ask how things were going in australia
sadness,i feel like i ought to apologise for my unfortunate decline in writing standards over the past couple of weeks
sadness,im just figuring these lyrics out myself so apologies if im slightly wrong but it just feels a bit fake
fear,i feel that they are vulnerable in the coming election given their performance
sadness,i feel about kids and this just about broke my heart
sadness,i always feel awkward when im alone in a crowd of peers and feel the need to make friends
sadness,i like the phrase having submissive feelings then being submissive
fear,i was taunted by the ability of feeling threatened from weakness of frailty beneath this exterior of human existance lies a woman wanting nothing but a man needing his warmth and masculinity
anger,i was feeling irate and extremely uncomfortable
anger,i would feel a violent stab of loneliness
sadness,i would feel ashamed or guilty if i were to take too much of the commons for myself
fear,i continue to succeed in something and having someone seems unattainable because i feel men will be intimidated or when there is a prolonged moment of silence
anger,i feel so petty who one of my first colleagues had not nice things to say about when i first asked for any contacts for investment banks from before i arrived at this job
sadness,i am feeling really bad for that guy
sadness,i had been struggling emotionally feeling beaten down and discontented
anger,im feeling distracted and a little bit flighty
anger,i feel mad sad and discouraged there is something so marvelous about the lord jesus something about the holy word of god that ignites my soul with hope to once again keep moving forward
sadness,i was feeling disheartened so i turned on the radio hoping music would lift my spirits
sadness,i hate feeling discouraged but i keep trying to start the couch to k again and it just isnt going well at all
anger,i would not knowingly wound the feelings of any not even one who may have wronged me but would seek to do him good and make him my friend
sadness,i feel pained and wistful and suddenly the hot tub didn t seem like very much fun anymore
anger,i wasnt going to post anything about his death because i made me feel mad and shitty
sadness,i wont feel regretful
anger,i feel like you didnt really care that alexis did that to me and you were irritated that i was even telling you
fear,i just do not feel uptight at all
sadness,i feel a sense of belonging to the soul of people even if i feel isolated from the collective ego of society
anger,i suppose in some ways i should feel irritated that if she knew why didn t she do anything to help me with this lone cause i was feeling
fear,i looked at sams eyes they were tough hiding the strong pent up feelings that tortured him inside
sadness,i got home feeling exhausted and discouraged
sadness,i see the areas where i should be doing better and i feel discouraged and condemned but i feel tempted to turn to numbing pleasures more than to despair
fear,i start feeling myself getting overwhelmed or frustrated i have tried to open up more about it instead of pushing it down deep slapping on a fake smile and waiting until i boil over
sadness,i feel pretty terrible physically today
sadness,i was left feeling a little disappointed since it all started so well and finished a little limply
anger,i am also feeling a bit bitchy about the way things are when we have conversations and others are around
sadness,ive learned that even when im feeling hopeless theres still hope
sadness,i woke up feeling very disturbed
fear,i feel the reader will get confused with because it bounces and uses references from its earliest time period which is like the dawn of time till now
sadness,i have been feeling particularly lousy these days so i might as well try to cheer myself up by saying yes
fear,i am not really in financial straits yet so why do i feel so insecure
sadness,i hate this and i hate feeling so shitty all the time
sadness,i can already feel the dull atmosphere really
fear,i rid myself of many bad habits only to fall back into them when i feel insecure or vulnerable
anger,id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september
fear,i just feel skeptical
sadness,i seem to have managed to start the week with a little bit of a hangover annoyingly so i have been sitting here feeling groggy all day
fear,i feel that she should change herself and i was too timid to speak up for her except in underground murmurs
sadness,i feel a little disheartened
sadness,i only feel vaguely remorseful
sadness,im feeling stressed and tired and after that flight i really dont want to get on another one
fear,i feel hesitant to share something i know and have experienced personally that can offer hope amp eternal life
anger,i feel so insulted because of a woman
sadness,i was also feeling pretty low being fired four days before christmas
fear,im guessing with everyone standing there she was feeling timid about moving through the crowd again
sadness,i was feeling emotionally drained
anger,i feel like the legality of our marriage is in tatters thanks to all the hateful lies and messaging from the prop campaign
fear,i will reach out to you when i am feeling uncertain and needing the support or the slap upside the head that i know you can provide me
sadness,i feel ignored i feel this boredom like a little sword straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my
sadness,i wondered if i would feel a bit lost when i got to the end of the programme but at the same time i was looking forward to running to my own music and setting my own goals
fear,i hurt and feel suspicious and definitely get angry
sadness,i feel listless most of the time nowadays
sadness,i feel so physically beaten down that it is difficult to think about anything else right now
fear,ive always been feeling restless and dissatisfied with our relationship
sadness,i cant help it because of the way i feel around my family like pairs of eyes boring into my back and just observing me all the time
sadness,im not sure why i even bothered to open this website let alone this feature but as expected its left me feeling boring poor and
sadness,i am feeling discouraged it is
sadness,i also have started taking b and it works a charm my lashes are getting longer thicker and i feel that i dont need to coat so much mascara on or wear fake lashes as much as i did before yay
anger,i am feeling bitchy cross whatever
sadness,ive been feeling needy lately
anger,i began to feel bitter towards them
fear,i was just reporting to a dear soul that the energies feel strange today and wondered if somethings up
sadness,i feel a little hopeless sometimes
sadness,i feel rotten for that but i was so mad at the whole situation i could have thrown a temper tantrum myself
fear,i feel intimidated by other girls acne getting rid of pimples
anger,i feel like karen is being far too greedy pushy demanding on all fronts
anger,i really thought i was because i liked what i was feeling when in all actuality i hated his personality
sadness,ill feel to let all of these things out on this empty space
fear,ive been feeling a little frantic recently because our summer together is flying by so quickly
sadness,i do feel more isolated since i started working
sadness,i was trying to think of anywhere else ive been that made me feel so awful awful awful
fear,i have been feeling so strange and frankly bad about how not sad i am
anger,i feel sooo bitchy that i made out with devin
sadness,i think theres nothing inherently wrong with feeling homesick
anger,i feel like people think im just being selfish with my gender if that makes sense
anger,i feel bitchy i guess
fear,i travel i feel like men expect me to be neurotic superficial and easy only sometimes true
anger,i had no idea i was giving off this vibe but i feel like this is a pretty dangerous vibe to be giving off all willy nilly
sadness,i feel sad when i see your son uhuru being persecuted by men of ill will and a woman martha karua is carrying their bags
sadness,i am allowed to feel guilty about neglecting the work that was due and the part of myself that did want to do it
anger,i talk about in this essay is that people feel differently about poetry when they re angry or sad
sadness,i feel awkward talking about my book to begin with
sadness,i feel it is unfortunate that my companion differs
anger,i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices
fear,i am still feeling somewhat intimidated but i guess by being safe and cautious and fully aware then i will be ok
sadness,i feel completely emotionally exhausted and am pretty much to the point i will have to cut all ties with every man i know
fear,i over think you think i really feel insecure
anger,i have an interest in a relationship with the person long term and an end goal in mind little spats here and there in which i feel i have been wronged are really of rather little consequence in the grand scheme of things
sadness,i came close to just packing up and heading home but then i wondered would home feel less awful
anger,i wanted to say something to her but it was just a bad vibe and i was feeling hostile didnt think it was a good night to do so
sadness,i hurtled through the first chapters desperate to see what was so good about it but came away feeling disappointed
sadness,i feel like the people who cause pain go through life without issue and the people burdened by pain the ones who are strong enough to deal are the ones who become depressed and jaded
sadness,i do not feel particularly damaged by that
sadness,i can feel an unpleasant pressure from it
sadness,i am from new jersey and this first drink was consumed at a post prom party so i feel it s appropriately lame
sadness,i know how it feels to suffer pain and sorrow and loneliness and to know that mom is suffering because of her illness
fear,i can t get past is that feeling when a friend walks out of your life and you re unsure why that feeling of not being valued or important enough
anger,i feel and im irritated by it
anger,i swamp uncaring unfeeling fucked up apathetic humanbeings who wont pull their heads out of their asses long enough to turn around and look at me and say i see you
sadness,i blush because i feel guilty about asking for something so costly for being worldly
fear,i know in advance then i am fine with it but if i make plans and they change or fall through i end up not knowing what to do with myself and feeling very restless and angsty
fear,i started to feel apprehensive about it
sadness,i was on to stop labor made me feel terrible
sadness,i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable
sadness,when i learned that my former boyfriend had become engaged although i was glad that he had found what he wanted
fear,i feel more grounded and less fearful
sadness,i would really like to be able to help out financially around the house and it makes me feel that much more useless when i cant
anger,im feeling so pissed off now
fear,ill admit to feeling a little paranoid and wondering about how many others had defriended me
sadness,i feel so helpless and only hope that somehow they are receiving their dose of drugs that will help them get threw these hard times
sadness,i hauled it i feel dumb i got my lock and key i paid a man his fee now i wait and see frank black amp the catholics devils workshop released simultaneously with black letter days i initially felt this was the better of the two
anger,i feel like im selfish
fear,i wish things didn t feel so strange so out of place
sadness,i go to school feeling miserable but end up laughing for some reason is weird
fear,i dont want to make a bad impression with my new co workers in both my job or my lab simply because i just feel so insecure and agitated all the time
fear,i can t stop thinking about it i feel paranoid like they re judging me i know they re probably now but i just feel that way
sadness,i feel deeply disappointed
anger,i was feeling irritated with the supposed guy who wasting my valuable time talking to a lady
anger,i want to not feel angry because i haven t the right to feel that way
fear,i feel a bit shaken though
fear,i feel more vulnerable and more in touch with my heart with making choices that are better for myself and my family and less worried about pleasing everyone else
fear,i feel like a snob but i ve been a bit skeptical of it from the start because i have no idea who kenny werner is and neither does thomas a musician who gave me the book
